Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
ITIH2,0.790625,0.3,0.37944664,-1.398031072,-0.420849289,-0.260202584,-0.086831661,0.165002287,,,,,,
KRT81,2.630555556,1,0.380147835,-1.395367516,-0.420047478,-0.260082916,-0.086359831,0.166037999,,,,,,
LIFR,57.85,22,0.380293863,-1.394813432,-0.419880682,-0.259637313,-0.086127905,0.166120522,,,,,,
ACVR2A,15.75277778,6,0.380885205,-1.39257184,-0.419205896,-0.259389071,-0.086085914,0.166649703,,,,,,
GHRHR,0.525,0.2,0.38095238,-1.392317422,-0.419129309,-0.258832318,-0.085964118,0.166956571,,,,,,
CHML,55.08333333,21,0.381240545,-1.391226534,-0.418800919,-0.258832317,-0.085808561,0.167136416,,,,,,
ADAM11,13.11388889,5,0.381275154,-1.391095573,-0.418761495,-0.256259058,-0.085252544,0.167568981,,,,,,
POLI,20.94444444,8,0.381962865,-1.388495708,-0.417978858,-0.255880336,-0.084675557,0.168730159,,,,,,
TAS1R1,2.09375,0.8,0.382089552,-1.388017282,-0.417834838,-0.255504438,-0.084675557,0.169676157,,,,,,
GPR156,3.925714286,1.5,0.38209607,-1.387992673,-0.417827429,-0.254963068,-0.08444989,0.170200061,,,,,,
LRP3,33.98333333,13,0.382540461,-1.386315743,-0.417322623,-0.25484901,-0.084237392,0.170511382,,,,,,
TRPS1,7.833333333,3,0.382978723,-1.384663847,-0.416825353,-0.254377975,-0.08414882,0.17195688,,,,,,
ADAMTS16,1.080769231,0.414285714,0.38332486,-1.383360527,-0.416433014,-0.254359162,-0.083488989,0.172770586,,,,,,
KCNH1,1.303125,0.5,0.383693045,-1.381975476,-0.416016073,-0.254266029,-0.083479026,0.173465045,,,,,,
HDHD2,7.805555556,3,0.384341637,-1.379538814,-0.415282564,-0.254098055,-0.083432939,0.173700684,,,,,,
FAM83H,39.14571429,15.05,0.384460988,-1.379090878,-0.415147722,-0.254026047,-0.082685659,0.173874658,,,,,,
KRT37,0.26,0.1,0.384615383,-1.378511625,-0.41497335,-0.253850919,-0.082548337,0.174085276,,,,,,
NWD1,5.057692308,1.95,0.385551331,-1.375005144,-0.413917794,-0.253778491,-0.082386386,0.174701515,,,,,,
CHODL,23.42,9.05,0.386421862,-1.371751375,-0.412938312,-0.253257215,-0.082186756,0.17508711,,,,,,
FAM222A,37.5,14.5,0.386666667,-1.370837692,-0.412663266,-0.252853031,-0.082025698,0.175139902,,,,,,
RWDD1,38.72222222,15,0.387374462,-1.368199245,-0.411869014,-0.252479606,-0.081623396,0.175260073,,,,,,
CDH1,82.94285714,32.15,0.387616259,-1.367299004,-0.411598014,-0.251978337,-0.081473043,0.176091258,,,,,,
RASD2,18.05714286,7,0.387658228,-1.367142806,-0.411550994,-0.251908472,-0.081076028,0.177359802,,,,,,
HSD17B7,18.05555556,7,0.387692308,-1.367015981,-0.411512816,-0.251524957,-0.080716066,0.177645087,,,,,,
DEF6,7.719444444,3,0.388629003,-1.363534519,-0.410464791,-0.251382828,-0.080285097,0.178128442,,,,,,
NFKBIZ,5.141666667,2,0.38897893,-1.36223608,-0.410073922,-0.250724877,-0.079940151,0.178149283,,,,,,
GABRR2,2.052777778,0.8,0.389715832,-1.35950555,-0.409251951,-0.250555529,-0.079181246,0.18044017,,,,,,
MMP1,1.025,0.4,0.390243902,-1.357552002,-0.408663874,-0.25037071,-0.078650648,0.181397115,,,,,,
CRYBA1,0.511764706,0.2,0.390804597,-1.355480654,-0.408040336,-0.250276458,-0.078606403,0.182165407,,,,,,
KRT23,0.255555556,0.1,0.391304346,-1.353636957,-0.407485328,-0.249877476,-0.078510521,0.182201389,,,,,,
MEI1,1.021875,0.4,0.391437308,-1.353146823,-0.407337783,-0.249877473,-0.078426607,0.184148901,,,,,,
RAP1GAP,25.53333333,10,0.391644909,-1.352381888,-0.407107515,-0.249722341,-0.07840724,0.185851096,,,,,,
C4A,0.51,0.2,0.392156862,-1.350497246,-0.406540181,-0.249538048,-0.078174769,0.18629196,,,,,,
RESP18,0.254545455,0.1,0.392857141,-1.347923305,-0.405765348,-0.248858401,-0.07708579,0.187762063,,,,,,
GALNT4,0.254545455,0.1,0.392857141,-1.347923305,-0.405765348,-0.248688323,-0.076805095,0.187949866,,,,,,
PIGM,30.52777778,12,0.393084622,-1.347088165,-0.405513946,-0.248463718,-0.076588436,0.18845235,,,,,,
SPTBN5,2.796875,1.1,0.393296089,-1.34631225,-0.405280372,-0.248177688,-0.076476781,0.188639966,,,,,,
NUBP2,50.66666667,20,0.394736842,-1.341036914,-0.403692338,-0.248177688,-0.076388348,0.189495139,,,,,,
AASDH,17.69444444,7,0.395604396,-1.337869635,-0.402738892,-0.247531198,-0.075720714,0.190346778,,,,,,
KRTAP10-2,0.252631579,0.1,0.395833332,-1.337034989,-0.402487638,-0.244185459,-0.075648326,0.191885523,,,,,,
POTEH,2.525,1,0.396039604,-1.336283385,-0.402261383,-0.243038049,-0.075479372,0.192861469,,,,,,
ADM2,10.1,4,0.396039604,-1.336283384,-0.402261382,-0.243038049,-0.075421099,0.193607416,,,,,,
PHLDB2,11.36176471,4.5,0.396065234,-1.336190021,-0.402233277,-0.242884831,-0.075141268,0.194574665,,,,,,
SOWAHC,15.14166667,6,0.396257567,-1.335489604,-0.402022431,-0.242545372,-0.075141268,0.198954142,,,,,,
CALHM3,0.504166667,0.2,0.396694214,-1.333900736,-0.401544134,-0.242298824,-0.074735196,0.199156563,,,,,,
TMEM14B,37.75,15,0.397350993,-1.33151414,-0.400825697,-0.242249497,-0.074633618,0.202665667,,,,,,
ACKR3,31.06774194,12.35,0.39751843,-1.330906342,-0.400642731,-0.242150828,-0.074530489,0.20282275,,,,,,
VSTM2A,10.05,4,0.39800995,-1.329123593,-0.40010607,-0.241153906,-0.074481208,0.203443687,,,,,,
TCEA2,22.55555556,9,0.399014778,-1.325485911,-0.399011019,-0.241050427,-0.074081151,0.206941703,,,,,,
ZXDA,5.011764706,2,0.399061033,-1.325318681,-0.398960678,-0.241032067,-0.073786214,0.207036679,,,,,,
FHAD1,1.502941176,0.6,0.399217221,-1.324754136,-0.398790733,-0.24087845,-0.073786214,0.207734541,,,,,,
PTPRH,7.514705882,3,0.399217221,-1.324754136,-0.398790733,-0.24086113,-0.073731486,0.207774211,,,,,,
C9orf43,2.002857143,0.8,0.399429386,-1.323987614,-0.398559987,-0.240308345,-0.073231914,0.207912972,,,,,,
EFHD1,17.52222222,7,0.399492708,-1.323758923,-0.398491144,-0.23981434,-0.072796918,0.208484787,,,,,,
VAV2,81.34285714,32.5,0.399543379,-1.323575944,-0.398436062,-0.23888209,-0.072423234,0.209400742,,,,,,
SERPINA3,0.25,0.1,0.399999998,-1.321928097,-0.39794001,-0.238882089,-0.071882009,0.212389389,,,,,,
HBE1,0.25,0.1,0.399999998,-1.321928097,-0.39794001,-0.238085948,-0.071538654,0.212514224,,,,,,
HLA-DMB,1,0.4,0.4,-1.321928093,-0.397940009,-0.237919902,-0.069977468,0.213316167,,,,,,
ROBO3,6.576666667,2.633333333,0.400405474,-1.320466394,-0.397499994,-0.237360918,-0.069977468,0.21578212,,,,,,
CTNNA2,13.02,5.216666667,0.400665643,-1.319529289,-0.397217897,-0.237255081,-0.06989117,0.217483944,,,,,,
NPAS1,7.486111111,3,0.400742115,-1.319253957,-0.397135014,-0.23686843,-0.06888129,0.218459418,,,,,,
MSN,196.92,79,0.401178143,-1.317685083,-0.396662736,-0.236089189,-0.067416551,0.219297285,,,,,,
CASK,17.44444444,7,0.401273885,-1.317340822,-0.396559103,-0.235607345,-0.06694679,0.219517202,,,,,,
CEP128,12.44444444,5,0.401785714,-1.315501822,-0.396005509,-0.235212711,-0.06694679,0.219842767,,,,,,
ACSBG1,0.248571429,0.1,0.402298849,-1.313660481,-0.39545121,-0.234813727,-0.06694679,0.220158886,,,,,,
GRPR,1.739285714,0.7,0.402464065,-1.313068115,-0.39527289,-0.234639637,-0.06674974,0.222183983,,,,,,
ZNF528,17.375,7,0.402877698,-1.311586147,-0.394826773,-0.234402082,-0.066506552,0.222449572,,,,,,
GSDMB,12.4,5,0.403225806,-1.310340117,-0.394451681,-0.234334461,-0.065617655,0.224641648,,,,,,
PRR5-ARHGAP8,0.74375,0.3,0.403361344,-1.309855261,-0.394305725,-0.234284222,-0.065534449,0.226086764,,,,,,
DNAJB9,34.69444444,14,0.403522818,-1.309277835,-0.394131902,-0.234099961,-0.065479068,0.226582251,,,,,,
GPC2,42.11111111,17,0.403693931,-1.308666192,-0.393947779,-0.232765165,-0.065471255,0.227049943,,,,,,
SLC4A4,4.946875,2,0.404295641,-1.306517442,-0.393300941,-0.231949078,-0.064992506,0.227189498,,,,,,
FAM133A,6.18125,2.5,0.404448938,-1.305970518,-0.3931363,-0.231865871,-0.064968224,0.227195314,,,,,,
CHRNE,0.494285714,0.2,0.404624277,-1.30534521,-0.392948064,-0.23186587,-0.064642835,0.227486201,,,,,,
SLC5A10,0.247058824,0.1,0.404761903,-1.304854584,-0.392800371,-0.2317381,-0.064270082,0.22814141,,,,,,
HCK,1.851515152,0.75,0.40507365,-1.303743852,-0.392466007,-0.231731122,-0.063833554,0.228262854,,,,,,
KCNG2,0.863636364,0.35,0.405263157,-1.303069066,-0.392262876,-0.231615205,-0.06366908,0.228943566,,,,,,
ANO3,1.48,0.6,0.405405405,-1.302562767,-0.392110465,-0.231512066,-0.063496567,0.229284323,,,,,,
DDR1,59.14285714,24,0.405797101,-1.301169531,-0.391691059,-0.231394068,-0.063218917,0.230502103,,,,,,
SPEG,10.66206897,4.328571429,0.405978562,-1.300524544,-0.391496899,-0.231157974,-0.06320822,0.233345237,,,,,,
ZNF721,23.4,9.5,0.405982906,-1.300509108,-0.391492252,-0.231056751,-0.063170292,0.23423095,,,,,,
FLNC,19.82727273,8.05,0.406006419,-1.300425554,-0.3914671,-0.229336774,-0.062951412,0.236156215,,,,,,
MYCBP,49.25,20,0.406091371,-1.300123721,-0.391376239,-0.229230703,-0.06279083,0.236912494,,,,,,
FOXG1,55.63428571,22.6,0.406224322,-1.29965147,-0.391234077,-0.229073265,-0.062363538,0.238716675,,,,,,
SEC14L1,78.75,32,0.406349206,-1.299208015,-0.391100584,-0.22862031,-0.061803731,0.238855405,,,,,,
RASAL2,14.73055556,6,0.407316613,-1.295777433,-0.390067876,-0.228479329,-0.061799536,0.244430961,,,,,,
TBR1,0.368,0.15,0.407608695,-1.294743266,-0.389756561,-0.228253663,-0.061222034,0.245172178,,,,,,
NXPH4,29.43888889,12,0.40762408,-1.294688812,-0.389740168,-0.228009058,-0.06069784,0.245390133,,,,,,
NR1I3,1.469444444,0.6,0.40831758,-1.292236407,-0.389001921,-0.227798085,-0.060366444,0.24729413,,,,,,
GPATCH2,14.69444444,6,0.40831758,-1.292236407,-0.389001921,-0.227554491,-0.059941888,0.249207782,,,,,,
OSCP1,12.23611111,5,0.408626561,-1.291145109,-0.388673408,-0.227406226,-0.059838702,0.249390323,,,,,,
TLN2,7.338888889,3,0.408781226,-1.290599151,-0.388509058,-0.227348899,-0.059734513,0.249549332,,,,,,
GZMA,0.244444444,0.1,0.409090907,-1.28950662,-0.388180173,-0.227297217,-0.059647551,0.249704551,,,,,,
NSMCE1,34.19444444,14,0.409423233,-1.28833512,-0.387827516,-0.227243784,-0.059422379,0.251342211,,,,,,
INPP5J,9.763888889,4,0.409672831,-1.287455874,-0.387562837,-0.227243782,-0.059413808,0.253117756,,,,,,
MAU2,34.16666667,14,0.409756098,-1.287162673,-0.387474575,-0.226474054,-0.058594715,0.25363233,,,,,,
DUOX2,0.488,0.2,0.409836065,-1.286881147,-0.387389827,-0.226472251,-0.058480742,0.253760161,,,,,,
PCDHGB4,0.325,0.133333333,0.410256409,-1.28540222,-0.386944626,-0.225512985,-0.058444102,0.254308477,,,,,,
PDCD2L,40.2,16.5,0.410447761,-1.284729473,-0.386742109,-0.225452874,-0.058414707,0.255743358,,,,,,
USP38,21.88888889,9,0.411167513,-1.282201813,-0.385981207,-0.22542321,-0.058243202,0.257947447,,,,,,
ERCC6L2,14.58611111,6,0.411350219,-1.28156088,-0.385788267,-0.224939827,-0.057648224,0.258652246,,,,,,
CCDC8,19.69117647,8.1,0.411351755,-1.281555493,-0.385786645,-0.224254819,-0.057238723,0.258760833,,,,,,
CACNA1A,19.12307692,7.9,0.413113435,-1.275390111,-0.383930681,-0.223534397,-0.056481356,0.260766815,,,,,,
MICALL1,19.36111111,8,0.413199426,-1.275089841,-0.38384029,-0.223343742,-0.055976656,0.262571744,,,,,,
BAIAP2,12.08333333,5,0.413793103,-1.273018491,-0.383216752,-0.223293991,-0.055670581,0.262911612,,,,,,
HSPH1,132.7142857,55,0.414424112,-1.270820147,-0.382554984,-0.223293991,-0.055302808,0.26326509,,,,,,
ZFP1,26.52777778,11,0.414659686,-1.270000299,-0.382308186,-0.223162804,-0.055082136,0.263390395,,,,,,
ARMCX1,38.55882353,16,0.41495042,-1.268989126,-0.382003792,-0.223053451,-0.054965492,0.265136914,,,,,,
TTC36,2.408333333,1,0.415224913,-1.268035084,-0.381716597,-0.222933131,-0.05490087,0.265526139,,,,,,
ANKDD1A,7.222222222,3,0.415384615,-1.267480308,-0.381549593,-0.222603388,-0.05488956,0.267281413,,,,,,
PKDREJ,0.962857143,0.4,0.415430267,-1.267321762,-0.381501866,-0.221848752,-0.054783233,0.267486418,,,,,,
PKD2,31.25,13,0.416,-1.265344563,-0.380906669,-0.221848752,-0.054633543,0.26810707,,,,,,
ITGAD,0.24,0.1,0.416666665,-1.263034408,-0.380211244,-0.221848751,-0.054175147,0.272523699,,,,,,
CNGB1,4.916,2.05,0.417005696,-1.261861003,-0.379858013,-0.221848751,-0.053007265,0.273222907,,,,,,
KCNG1,6.221428571,2.6,0.417910448,-1.258734265,-0.378916771,-0.221300052,-0.052842386,0.273877749,,,,,,
SOX4,239.2222222,100,0.418021366,-1.25835141,-0.37880152,-0.221245144,-0.052806609,0.274701055,,,,,,
RRBP1,57.36111111,24,0.418401937,-1.257038561,-0.378406314,-0.220943026,-0.05268173,0.275016561,,,,,,
TTC21A,2.383333333,1,0.419580419,-1.252980738,-0.377184787,-0.220398683,-0.051509819,0.27649302,,,,,,
EXOC5,64.33333333,27,0.419689119,-1.252607031,-0.37707229,-0.220398683,-0.051375868,0.276787647,,,,,,
TUBA3E,0.714285714,0.3,0.419999999,-1.251538766,-0.37675071,-0.220081812,-0.051286543,0.279049055,,,,,,
DNAAF1,0.713888889,0.3,0.420233462,-1.250737046,-0.376509368,-0.219981431,-0.050140288,0.279498598,,,,,,
SERPINI2,0.594736842,0.25,0.420353982,-1.250323353,-0.376384835,-0.219968102,-0.04991345,0.280540607,,,,,,
SYNGAP1,21.38888889,9,0.420779221,-1.248864629,-0.375945715,-0.219870184,-0.049846373,0.280906864,,,,,,
KRTAP9-1,0.2375,0.1,0.42105263,-1.247927516,-0.375663616,-0.21971462,-0.049771617,0.284639579,,,,,,
RDM1,14.25,6,0.421052632,-1.24792751,-0.375663614,-0.219615868,-0.049085434,0.287256791,,,,,,
ACVR1,21.36111111,9,0.421326398,-1.246989782,-0.37538133,-0.219590994,-0.049002546,0.287666033,,,,,,
FAM210B,75.91666667,32,0.421514819,-1.24634474,-0.375187153,-0.21935995,-0.048054482,0.29030613,,,,,,
TMEM161A,33.19444444,14,0.421757322,-1.245514976,-0.374937369,-0.219227043,-0.047806744,0.29064796,,,,,,
WDR81,14.22222222,6,0.421875,-1.245112495,-0.37481621,-0.218919266,-0.047653385,0.292835517,,,,,,
FUT1,11.84722222,5,0.422039859,-1.244548832,-0.37464653,-0.218495109,-0.047566711,0.292962374,,,,,,
ETV5,16.57941176,7,0.422210396,-1.243965991,-0.374471078,-0.217886628,-0.047255457,0.294756427,,,,,,
LGR4,44.97222222,19,0.422483014,-1.243034752,-0.374190747,-0.217768054,-0.047147234,0.296231113,,,,,,
CLSTN3,40.22222222,17,0.422651934,-1.242458041,-0.37401714,-0.217483945,-0.046841872,0.296961633,,,,,,
SOX10,0.236363636,0.1,0.423076921,-1.241008102,-0.373580665,-0.216465519,-0.04682521,0.301029995,,,,,,
ZMYND11,66.02777778,28,0.424063946,-1.237646261,-0.37256865,-0.215491888,-0.045757491,0.30161887,,,,,,
RBM38,127.2571429,54,0.424337674,-1.23671532,-0.372288409,-0.215485347,-0.045757491,0.301924526,,,,,,
SKAP1,18.83103448,8,0.424830617,-1.235040348,-0.371784192,-0.215315598,-0.045757491,0.302736459,,,,,,
ANGPT1,2.353571429,1,0.424886191,-1.234851635,-0.371727383,-0.214995398,-0.045757491,0.305308793,,,,,,
ANK2,29.79411765,12.66666667,0.425139849,-1.233990601,-0.371468186,-0.214549511,-0.045757491,0.305439114,,,,,,
CLCN5,28.22222222,12,0.42519685,-1.233797181,-0.371409961,-0.214339148,-0.045757491,0.305798374,,,,,,
ABCC4,14.10833333,6,0.425280567,-1.233513158,-0.371324462,-0.213908958,-0.045648903,0.307560863,,,,,,
MYLK4,1.174285714,0.5,0.425790754,-1.23178347,-0.370803774,-0.213470964,-0.044967146,0.308492841,,,,,,
PFAS,58.69444444,25,0.42593469,-1.231295857,-0.370656988,-0.212985289,-0.04468648,0.309132014,,,,,,
PLAUR,21.125,9,0.426035503,-1.230954432,-0.370554208,-0.212814066,-0.043778925,0.311080234,,,,,,
KLHL23,72.65714286,31,0.426661424,-1.228836416,-0.369916622,-0.212652565,-0.043390757,0.313619123,,,,,,
NPR1,1.406060606,0.6,0.426724138,-1.228624373,-0.369852791,-0.212379119,-0.043375925,0.313855731,,,,,,
ZNF519,7.027777778,3,0.42687747,-1.228106069,-0.369696766,-0.211992606,-0.042624727,0.314224344,,,,,,
MBNL2,37.41666667,16,0.427616926,-1.225609131,-0.368945112,-0.211595115,-0.041818972,0.317596275,,,,,,
ARG2,35.02777778,15,0.428231562,-1.22353696,-0.368321327,-0.211071659,-0.041392687,0.319207054,,,,,,
SPATA21,0.233333333,0.1,0.428571427,-1.222392424,-0.367976787,-0.210853365,-0.041392687,0.321116557,,,,,,
SLURP1,0.466666667,0.2,0.428571428,-1.222392421,-0.367976786,-0.210716988,-0.041392685,0.321433241,,,,,,
KAT2B,18.66666667,8,0.428571429,-1.222392418,-0.367976785,-0.210605834,-0.040981227,0.321616526,,,,,,
OR51B4,2.682352941,1.15,0.42872807,-1.221865214,-0.367818081,-0.210416449,-0.040879638,0.322695879,,,,,,
PRSS53,3.497142857,1.5,0.428921569,-1.221214227,-0.367622115,-0.20973836,-0.040862919,0.323642662,,,,,,
IFNAR2,2.327777778,1,0.429594272,-1.218953335,-0.366941518,-0.209338463,-0.040498676,0.324638769,,,,,,
B3GNT2,37.13888889,16,0.430815258,-1.214858745,-0.365708924,-0.20921011,-0.039508545,0.327823172,,,,,,
FARSB,129.9428571,56,0.430958663,-1.214378597,-0.365564385,-0.20899343,-0.038893331,0.328883282,,,,,,
CNTNAP3,1.736,0.75,0.43202765,-1.210804445,-0.364488458,-0.208993429,-0.038618242,0.3303967,,,,,,
EYS,1.662962963,0.72,0.432962138,-1.207687224,-0.363550081,-0.208823948,-0.038563395,0.33064284,,,,,,
HK1,71.58333333,31,0.4330617,-1.207355507,-0.363450224,-0.208275942,-0.038514871,0.330993219,,,,,,
RNF43,2.075862069,0.9,0.433554817,-1.205713678,-0.362955984,-0.207943438,-0.03771382,0.331575823,,,,,,
HELZ,32.27777778,14,0.43373494,-1.205114427,-0.362775592,-0.207536718,-0.037480703,0.334453751,,,,,,
FBXO30,16.11111111,7,0.434482759,-1.202629163,-0.362027453,-0.207125494,-0.037285614,0.33456657,,,,,,
ANKRD30BL,0.23,0.1,0.434782607,-1.201633864,-0.361727838,-0.205912533,-0.036983566,0.336194413,,,,,,
SLC15A2,2.297222222,1,0.435308343,-1.19989042,-0.361203009,-0.205732664,-0.036929519,0.339716787,,,,,,
ADRA2B,0.803333333,0.35,0.435684647,-1.198643817,-0.360827744,-0.205668271,-0.036483946,0.343227675,,,,,,
BTLA,0.229166667,0.1,0.436363634,-1.196397216,-0.36015145,-0.205124132,-0.035966662,0.346082776,,,,,,
RPL17,55,24,0.436363636,-1.19639721,-0.360151448,-0.20499214,-0.03577327,0.346686967,,,,,,
TNFAIP3,4.582352941,2,0.436456996,-1.196088579,-0.360058541,-0.204917587,-0.034427905,0.349828613,,,,,,
FBXL13,1.602777778,0.7,0.436741767,-1.195147583,-0.359775273,-0.204873312,-0.034384584,0.350364623,,,,,,
TRIM68,15.97714286,7,0.438125894,-1.190582608,-0.358401078,-0.204622348,-0.034368902,0.352182515,,,,,,
MUC5B,0.513333333,0.225,0.438311687,-1.189970943,-0.358216949,-0.204595922,-0.033897657,0.352451348,,,,,,
AIMP2,68.44444444,30,0.438311688,-1.18997094,-0.358216948,-0.204119985,-0.033883083,0.355182565,,,,,,
AMOTL1,84.39722222,37,0.438403054,-1.189670242,-0.358126429,-0.204119985,-0.033196374,0.356321774,,,,,,
ZNF805,9.111111111,4,0.43902439,-1.187627,-0.357511352,-0.204119983,-0.033193909,0.361352299,,,,,,
RORC,2.276923077,1,0.439189189,-1.18708555,-0.357348359,-0.203602658,-0.033190851,0.361704581,,,,,,
FRAT1,6.830555556,3,0.439202928,-1.187040419,-0.357334773,-0.203587434,-0.03309344,0.363225835,,,,,,
SAMD9,9.094285714,4,0.439836632,-1.184960327,-0.356708603,-0.203365344,-0.03290217,0.366499785,,,,,,
HIGD1B,1.363888889,0.6,0.439918533,-1.18469171,-0.356627741,-0.20320664,-0.032690746,0.369534457,,,,,,
BRIP1,31.80555556,14,0.440174672,-1.183851956,-0.35637495,-0.203149492,-0.032184684,0.372740575,,,,,,
TBC1D7,13.6,6,0.441176471,-1.180572242,-0.355387658,-0.202967638,-0.031782373,0.374919996,,,,,,
MYO7A,4.53030303,2,0.441471572,-1.179607552,-0.355097257,-0.202707642,-0.031533136,0.376607117,,,,,,
HEATR5A,9.802941176,4.333333333,0.442044204,-1.177737445,-0.354534299,-0.202609392,-0.031159013,0.377237587,,,,,,
MLH3,18.08333333,8,0.442396313,-1.176588729,-0.354188501,-0.202566155,-0.030920171,0.377779916,,,,,,
WIPI1,13.55555556,6,0.442622951,-1.175849832,-0.353966071,-0.202566155,-0.030830842,0.379247213,,,,,,
SMPDL3A,20.27222222,9,0.443957249,-1.171507335,-0.352658849,-0.201787151,-0.030813948,0.383116232,,,,,,
C11orf96,2.025,0.9,0.444444444,-1.169924999,-0.352182518,-0.20147299,-0.030565992,0.383148983,,,,,,
ITGA2,8.997222222,4,0.444581661,-1.169479653,-0.352048456,-0.201150827,-0.030257361,0.390484126,,,,,,
HOXA1,8.996969697,4,0.444594139,-1.169439161,-0.352036266,-0.201024499,-0.029670671,0.391372103,,,,,,
NLRP2,29.3,13.05,0.445392491,-1.166850855,-0.351257109,-0.20087125,-0.029158229,0.394335884,,,,,,
COL11A2,3.254285714,1.45,0.445566286,-1.166288017,-0.351087678,-0.200610096,-0.028932563,0.397108823,,,,,,
LGSN,6.732142857,3,0.445623342,-1.166103287,-0.351032069,-0.199710864,-0.028045234,0.397294217,,,,,,
TRPM8,18.39393939,8.2,0.445799012,-1.165534674,-0.350860899,-0.199572356,-0.028028725,0.398638286,,,,,,
FOXD4,1.794285714,0.8,0.445859872,-1.16533773,-0.350801613,-0.199572355,-0.027890215,0.39889226,,,,,,
CCDC27,0.448387097,0.2,0.446043164,-1.164744762,-0.350623112,-0.199191228,-0.027631709,0.401111108,,,,,,
TNNI1,1.793103448,0.8,0.446153846,-1.164386815,-0.350515359,-0.198985867,-0.02739589,0.402241925,,,,,,
PLCL1,3.282758621,1.466666667,0.446778711,-1.162367647,-0.349907529,-0.19897566,-0.027186687,0.403290727,,,,,,
CNBD1,0.671428571,0.3,0.44680851,-1.162271428,-0.349878564,-0.198918789,-0.027058233,0.40544961,,,,,,
GRIP1,26.84705882,12,0.446976337,-1.161729636,-0.349715468,-0.197983414,-0.026829566,0.409080983,,,,,,
FAM227B,2.236111111,1,0.447204969,-1.160991874,-0.34949338,-0.19787589,-0.026761719,0.410456566,,,,,,
PCDH12,1.117142857,0.5,0.447570332,-1.159813684,-0.349138709,-0.197837257,-0.026734253,0.415022984,,,,,,
SGSM1,8.93030303,4,0.447913132,-1.158709128,-0.348806205,-0.197489404,-0.025958538,0.415375659,,,,,,
ZNF107,22.32352941,10,0.447957839,-1.158565136,-0.348762859,-0.197389966,-0.025890774,0.415708761,,,,,,
SATL1,2.339393939,1.05,0.448834197,-1.155745493,-0.347914062,-0.197389966,-0.025281905,0.416584832,,,,,,
NLRC5,2.893939394,1.3,0.44921466,-1.154523083,-0.34754608,-0.197157441,-0.025110721,0.416738234,,,,,,
ZNF512B,64.55555556,29,0.449225473,-1.154488354,-0.347535625,-0.19674122,-0.024935829,0.428679451,,,,,,
TG,0.222222222,0.1,0.449999998,-1.152003097,-0.346787488,-0.196580647,-0.024823585,0.434381046,,,,,,
ATP1A2,0.333333333,0.15,0.449999999,-1.152003095,-0.346787488,-0.196403314,-0.024751014,0.434871126,,,,,,
B3GNT4,2.219444444,1,0.450563204,-1.150198594,-0.346244279,-0.196294647,-0.024737493,0.435180564,,,,,,
PLCB1,13.31111111,6,0.450751252,-1.149596593,-0.346063058,-0.195986088,-0.024432453,0.437927534,,,,,,
HDC,0.443478261,0.2,0.450980391,-1.148863386,-0.345842341,-0.195745947,-0.024242348,0.438616999,,,,,,
N4BP2L2,22.16666667,10,0.45112782,-1.148391837,-0.345700391,-0.195736558,-0.024133681,0.441977519,,,,,,
RPUSD2,19.88888889,9,0.452513966,-1.143965771,-0.344368012,-0.195553739,-0.023665392,0.442637632,,,,,,
MCFD2,66.27777778,30,0.452640402,-1.143562727,-0.344246684,-0.195511536,-0.023481098,0.443059675,,,,,,
SNRNP48,37.55555556,17,0.452662722,-1.14349159,-0.344225269,-0.195108588,-0.022936526,0.443697499,,,,,,
DOK2,0.220833333,0.1,0.452830187,-1.142957957,-0.34406463,-0.195104922,-0.022803305,0.445273887,,,,,,
ABCG8,0.220833333,0.1,0.452830187,-1.142957957,-0.34406463,-0.19507703,-0.022761708,0.459749683,,,,,,
FCHO1,6.62,3,0.453172205,-1.141868713,-0.343736735,-0.194712514,-0.021815535,0.461382386,,,,,,
PKP1,6.616,3,0.453446191,-1.140996731,-0.343474242,-0.194236749,-0.021706817,0.464711997,,,,,,
CHD7,79.22777778,36,0.454386088,-1.138009428,-0.342574974,-0.194183854,-0.021507347,0.465722784,,,,,,
ZNF670,21.97142857,10,0.455136541,-1.135628673,-0.341858295,-0.193820026,-0.021025136,0.468270697,,,,,,
COMP,0.657894737,0.3,0.455999999,-1.13289427,-0.341035158,-0.19370647,-0.020755222,0.474310277,,,,,,
LRRC40,72.25,33,0.456747405,-1.13053156,-0.340323912,-0.193383956,-0.020422671,0.476193656,,,,,,
INCENP,118.1666667,54,0.456981664,-1.129791811,-0.340101225,-0.193124598,-0.020118289,0.479161796,,,,,,
GPBAR1,0.875,0.4,0.457142857,-1.129283015,-0.339948062,-0.192897279,-0.02003885,0.481897518,,,,,,
CACNA2D1,67.8,31,0.457227139,-1.129017055,-0.339868,-0.192796954,-0.019654688,0.483296162,,,,,,
PPP1R3E,28.42857143,13,0.457286432,-1.128829977,-0.339811684,-0.192746368,-0.019654688,0.49364631,,,,,,
SLC36A4,56.81388889,26,0.457634577,-1.127732032,-0.33948117,-0.19266036,-0.018483406,0.49485002,,,,,,
PCDHGB2,4.369444444,2,0.457724094,-1.127449856,-0.339396226,-0.192515184,-0.018459004,0.497075778,,,,,,
SEZ6L,73.01,33.42,0.457745514,-1.127382343,-0.339375903,-0.191885528,-0.01837169,0.498262936,,,,,,
